device_id,location_general,type,max_heartbeat_str,description,fields,notes,x,y,z,grid
0506d2cd,linklab,light_level,30min,"6.51,29.29,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,6.51,29.29,3.1,2
awair-3242,linklab,awair_element,10s,"20.53,28.82,0.38","Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb",,20.53,28.82,0.38,6
018a26ba,linklab,temp_humid,15min,"18.86,28.82,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,18.86,28.82,1.1,6
018a315a,linklab,temp_humid,15min,"44.89,28.82,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,44.89,28.82,1.1,14
0506221e,linklab,light_level,30min,"57.42,28.16,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,57.42,28.16,3.1,18
awair-3358,linklab,awair_element,10s,"55.91,30.38,0.38","Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb",,55.91,30.38,0.38,18
018a33be,linklab,temp_humid,15min,"12.14,26.8,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,12.14,26.8,1.1,23
05061ccc,linklab,light_level,30min,"13.71,27.18,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,13.71,27.18,3.1,24
0506da3f,linklab,light_level,30min,"29.71,27.14,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,29.71,27.14,3.1,29
050621a5,linklab,light_level,30min,"48.44,26.76,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,48.44,26.76,3.1,35
0506d2af,linklab,light_level,30min,"57.42,25.8,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,57.42,25.8,3.1,38
0506ebe7,linklab,light_level,30min,"1.67,23.39,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,1.67,23.39,3.1,40
05060cd9,linklab,light_level,30min,"16.71,23.42,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,16.71,23.42,3.1,45
05060ca0,linklab,light_level,30min,"36.42,21.58,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,36.42,21.58,3.1,51
018a1df9,linklab,temp_humid,15min,"33.64,24.37,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,33.64,24.37,1.1,51
05083a3c,linklab,dual_motion,100s,"35.22,21.45,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,35.22,21.45,3.1,51
awair-3509,linklab,awair_element,10s,"38.39,24.35,0.38","Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb",,38.39,24.35,0.38,52
018a271b,linklab,temp_humid,15min,"60.11,23.49,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,60.11,23.49,1.1,59
018a1dfd,linklab,temp_humid,15min,"31.48,19.01,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,31.48,19.01,1.1,70
1834188,linklab,contact,25min,"32.67,18.8,1.1","Contact,rssi",,32.67,18.8,1.1,70
018a30c9,linklab,temp_humid,15min,"34.05,18.87,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,34.05,18.87,1.1,71
050621c6,linklab,light_level,30min,"45.1,20.49,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,45.1,20.49,3.1,74
awair-3011,linklab,awair_element,10s,"45.57,18.72,0.38","Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb",,45.57,18.72,0.38,74
018a2c81,linklab,temp_humid,15min,"45.39,18.87,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,45.39,18.87,1.1,74
018169f7,linklab,contact,25min,"44.13,18.8,1.1","Contact,rssi",,44.13,18.8,1.1,74
